codBairro,bairro,codLocalidade,municipio,codMunicipioIBGE
11635,JARDIM NOVA CONQUISTA,485,Santa Bárbara D´Oeste,3545803
11636,JARDIM NOVA COTIA,834,Cotia,3513009
11637,JARDIM NOVA COTIA,734,Itapevi,3522505
11638,JARDIM NOVA DETROIT,469,São José dos Campos,3549904
11639,JARDIM NOVA ÉPOCA,978,Araraquara,3503208
11640,JARDIM NOVA ERA,4877,Aparecida de Goiânia,5201405
11641,JARDIM NOVA ERA,2126,Nova Iguaçu,3303500
11642,JARDIM NOVA ERA,963,Amparo,3501905
11643,JARDIM NOVA ERA,732,Itapetininga,3522307
11644,JARDIM NOVA ERA,704,Leme,3526704
11645,JARDIM NOVA ERA,479,Salto,3545209
11646,JARDIM NOVA ERA,3527,Campo Grande,5002704
11647,Jardim Nova Esperança,5210,Salvador,2927408
11648,Jardim Nova Esperança,4818,Goiânia,5208707
11651,Jardim Nova Esperança,946,Bauru,3506003
11652,Jardim Nova Esperança,861,Campinas,3509502
11653,Jardim Nova Esperança,812,Francisco Morato,3516309
11654,Jardim Nova Esperança,754,Jacareí,3524402
11655,Jardim Nova Esperança,431,Sorocaba,3552205
11656,Jardim Nova Esperança,438,Taboão da Serra,3552809
11658,Jardim Nova Esperança,2403,Londrina,4113700
11659,JARDIM NOVA ESPERANÇA I,433,Sumaré,3552403
11660,JARDIM NOVA ESPERANÇA II,433,Sumaré,3552403
11661,JARDIM NOVA ESPERANÇA III,433,Sumaré,3552403
11662,JARDIM NOVA EUROPA,861,Campinas,3509502
11663,JARDIM NOVA EUROPA,706,Limeira,3526902
11664,JARDIM NOVA EUROPA,677,Mogi Guaçu,3530706
11665,JARDIM NOVA EUROPA,773,Hortolândia,3519071
11666,JARDIM NOVA EUROPA,979,Araras,3503307
11667,JARDIM NOVA GERMANIA,412,São Paulo,3550308
11668,JARDIM NOVA GRANADA,704,Leme,3526704
11669,JARDIM NOVA GRANADA,444,Santana de Parnaíba,3547304
11670,JARDIM NOVA GUAIANAZES,412,São Paulo,3550308
11671,JARDIM NOVA GUARULHOS,768,Guarulhos,3518800
11672,JARDIM NOVA HORTOLÂNDIA I,773,Hortolândia,3519071
11673,JARDIM NOVA HORTOLÂNDIA II,773,Hortolândia,3519071
11674,JARDIM NOVA IGUAÇU,556,Piracicaba,3538709
11675,JARDIM NOVA INDAIÁ,791,Indaiatuba,3520509
11676,JARDIM NOVA INDEPENDÊNCIA,2236,Sarandi,4126256
11677,JARDIM NOVA INDEPENDÊNCIA I,2236,Sarandi,4126256
11679,JARDIM NOVA IPANEMA,3503,Três Lagoas,5008305
11680,JARDIM NOVA IPANEMA,768,Guarulhos,3518800
11681,JARDIM NOVA IPANEMA,431,Sorocaba,3552205
11682,JARDIM NOVA IPELÂNDIA,435,Suzano,3552502
11683,JARDIM NOVA ITÁLIA,706,Limeira,3526902
11684,JARDIM NOVA ITAPEVA,733,Itapeva,3522406
11685,JARDIM NOVA ITAPEVI,734,Itapevi,3522505
11686,JARDIM NOVA ITAQUÁ,741,Itaquaquecetuba,3523107
11687,JARDIM NOVA ITUMBIARA,4769,Itumbiara,5211503
11688,JARDIM NOVA JAÚ,689,Jaú,3525300
11689,JARDIM NOVA LEME,704,Leme,3526704
11690,JARDIM NOVA LENÇÓIS,705,Lençóis Paulista,3526803
11691,JARDIM NOVA LIMEIRA,706,Limeira,3526902
11692,JARDIM NOVA LONDRES,2403,Londrina,4113700
11693,JARDIM NOVA LONDRINA,2403,Londrina,4113700
11694,JARDIM NOVA MANCHESTER,431,Sorocaba,3552205
11695,JARDIM NOVA MERCEDES,861,Campinas,3509502
11696,JARDIM NOVA MOCOCA,675,Mococa,3530508
11697,JARDIM NOVA MORADA,861,Campinas,3509502
11698,JARDIM NOVA MORADA,812,Francisco Morato,3516309
11699,JARDIM NOVA OLINDA,979,Araras,3503307
11700,JARDIM NOVA PACAEMBU,834,Cotia,3513009
11701,JARDIM NOVA PALMARES,342,Valinhos,3556206
